Country,Sector,Total (0 - 1),Foreign equity limits (0 - 1),Screening and approval (0 - 1),Restrictions on key foreign personnel (0 - 1),Other restrictions (0 - 1),https://drive.google.com/drive/u/0/folders/1W0uhpdbcOz2habVcSF8xFaatgDBHIzlI
India,Retail trade,0.04397,0.03225,0.00563,0,0.00609,
,Wholesale trade,0,0,0,0,0,
,Transport and storage except postal and courier activities,0.0072,0.0048,0.0016,0.0008,0,
,"Accommodation, food service and other touristic, artistic, entertainment and recreational activities",0,0,0,0,0,
,Media activities,0.00675,0.00563,0.00094,0.00019,0,
,Telecommunications,0.002,0,0,0.002,0,
,Banking,0.015,0.006,0.006,0.003,0,
,"Insurance, reinsurance and pension activities",0.00544,0.00375,0,0.00113,0.00056,
,"Other financial service activities, except insurance and pension funding activities",0.00053,0.0005,0.00003,0,0,
,Professional services,0.00469,0.00313,0,0,0.00156,
,Real estate activities,0.10125,0.10125,0,0,0,
Mauritius,Retail trade,0.00375,0,0,0,0.00375,
,Wholesale trade,0.0045,0,0,0,0.0045,
,Transport and storage except postal and courier activities,0.0126,0.0096,0,0,0.003,
,"Accommodation, food service and other touristic, artistic, entertainment and recreational activities",0.00416,0,0.00175,0.00044,0.00197,
,Media activities,0.00563,0.0045,0,0.00038,0.00075,
,Telecommunications,0.002,0,0,0,0.002,
,Banking,0.003,0,0,0,0.003,
,"Insurance, reinsurance and pension activities",0.00075,0,0,0,0.00075,
,"Other financial service activities, except insurance and pension funding activities",0.00069,0,0,0,0.00069,
,Professional services,0.00422,0.00297,0,0,0.00125,
,Real estate activities,0.01125,0,0.01125,0,0,
Singapore,Retail trade,0.00131,0,0,0.00038,0.00094,
,Wholesale trade,0.00158,0,0,0.00045,0.00113,
,Transport and storage except postal and courier activities,0.0129,0.01185,0,0.0003,0.00075,
,"Accommodation, food service and other touristic, artistic, entertainment and recreational activities",0.00061,0,0,0.00018,0.00044,
,Media activities,0.00939,0.00825,0,0.00096,0.00019,
,Telecommunications,0.0007,0,0,0.0002,0.0005,
,Banking,0.00161,0,0,0.0003,0.00131,
,"Insurance, reinsurance and pension activities",0.00026,0,0,0.00008,0.00019,
,"Other financial service activities, except insurance and pension funding activities",0.00018,0,0,0.00005,0.00013,
,Professional services,0.00294,0.0025,0,0.00013,0.00031,
,Real estate activities,0.02599,0.0225,0,0.00068,0.00281,
United States,Retail trade,0,0,0,0,0,
,Wholesale trade,0,0,0,0,0,
,Transport and storage except postal and courier activities,0.0193,0.016,0,0.0024,0.0009,
,"Accommodation, food service and other touristic, artistic, entertainment and recreational activities",0,0,0,0,0,
,Media activities,0.00675,0.006,0.00075,0,0,
,Telecommunications,0.0022,0,0.002,0,0.0002,
,Banking,0.00525,0,0,0.003,0.00225,
,"Insurance, reinsurance and pension activities",0,0,0,0,0,
,"Other financial service activities, except insurance and pension funding activities",0.00017,0,0,0,0.00017,
,Professional services,0,0,0,0,0,
,Real estate activities,0,0,0,0,0,
Netherlands,Retail trade,0,0,0,0,0,
,Wholesale trade,0,0,0,0,0,
,Transport and storage except postal and courier activities,0.00888,0.00864,0,0.00024,0,
,"Accommodation, food service and other touristic, artistic, entertainment and recreational activities",0,0,0,0,0,
,Media activities,0,0,0,0,0,
,Telecommunications,0,0,0,0,0,
,Banking,0,0,0,0,0,
,"Insurance, reinsurance and pension activities",0,0,0,0,0,
,"Other financial service activities, except insurance and pension funding activities",0.0001,0,0,0,0.0001,
,Professional services,0,0,0,0,0,
,Real estate activities,0,0,0,0,0,
Japan,Retail trade,0.00038,0,0.00038,0,0,
,Wholesale trade,0.0009,0,0.0009,0,0,
,Transport and storage except postal and courier activities,0.0196,0.0128,0.0048,0.002,0,
,"Accommodation, food service and other touristic, artistic, entertainment and recreational activities",0,0,0,0,0,
,Media activities,0.00581,0.0045,0.00075,0.00056,0,
,Telecommunications,0.009,0.004,0.004,0.001,0,
,Banking,0,0,0,0,0,
,"Insurance, reinsurance and pension activities",0,0,0,0,0,
,"Other financial service activities, except insurance and pension funding activities",0,0,0,0,0,
,Professional services,0,0,0,0,0,
,Real estate activities,0,0,0,0,0,
United Kingdom,Retail trade,0,0,0,0,0,
,Wholesale trade,0,0,0,0,0,
,Transport and storage except postal and courier activities,0,0,0,0,0,
,"Accommodation, food service and other touristic, artistic, entertainment and recreational activities",0,0,0,0,0,
,Media activities,0,0,0,0,0,
,Telecommunications,0,0,0,0,0,
,Banking,0,0,0,0,0,
,"Insurance, reinsurance and pension activities",0,0,0,0,0,
,"Other financial service activities, except insurance and pension funding activities",0.0001,0,0,0,0.0001,
,Professional services,0,0,0,0,0,
,Real estate activities,0,0,0,0,0,
Germany,Retail trade,0,0,0,0,0,
,Wholesale trade,0,0,0,0,0,
,Transport and storage except postal and courier activities,0.00862,0.00792,0,0.0006,0.0001,
,"Accommodation, food service and other touristic, artistic, entertainment and recreational activities",0,0,0,0,0,
,Media activities,0,0,0,0,0,
,Telecommunications,0,0,0,0,0,
,Banking,0,0,0,0,0,
,"Insurance, reinsurance and pension activities",0,0,0,0,0,
,"Other financial service activities, except insurance and pension funding activities",0.0001,0,0,0,0.0001,
,Professional services,0,0,0,0,0,
,Real estate activities,0,0,0,0,0,
